topic,source_word,en,de,nl,cs,it,es,PT-PT,ro,da,fr,pl,hu,el,NB
plants,evergreen,ˈɛvɚɡɹˌiːn,ˈɪmɜɡɾˌyːn,ɣrˈunblɛɪvənt,ˈeverɡrˌeen,semprevˈerde,sjˈempɾe βˈeɾðe,sˌeɪmpɹɨvˈeɾədɨ,vˈeʃnik vˈerde,stˈεðsʔeɡʁˌʔœn,a fˈœj pɛʁsistˈɑ̃t,vʲˈɛtʃɲʲɛ ʑɛlˈɔnɨ,ˈørøkzøld,ˌaiθalˈes,ˈeːvɪɡːrˌœn
plants,fern,fˈɜːn,fˈaɾn,vˈaːrən,kˈapraɟiː,fˈeltʃe,elˈetʃo,fˈɛtʊ,feɾˈiɡə,bɐ̯ˈ?ɑjnə,fuʒˈɛʁ,pˈaprɔtɕ,pˈaːfraːɲ,ftˈeri,brˈɛŋna
plants,fertilizer,fˈɜːɾəlˌaɪzɚ,dˈʏŋeːmˌɪtəl,kˈɵnstmɛst,hnˈojivo,fertilidzːˈante,aβˈono,fˌeɾətilizˈɐ̃ŋtɨ,ˌɨŋɡrəʃəmˈɨnt,ɡˈʔœðnʔeŋ,ɑ̃ɡʁˈɛ,nˈavus,mˈyːtraːɟɑ,lˈipasmˌa,jˈœdsəl
plants,filament,fˈɪləmənt,dɾˈɑːt,ɣlujdrˈaːt,vlˈaːkna,filamˈento,fˌilamˈɛnto,fˌilɐmˈeɪŋtʊ,fˌilamˈent,fˌʔilamˈεnt,filamˈɑ̃,ʒˈarɲik,ˈizzoːsaːl,nˈima,ɡlˈøːdətrˌoːd
plants,flora,flˈɔːɹə,flˈoːrɑː,flˈoːraː,flˈora,flˈɔra,flˈoɾa,flˈɔɾɐ,flˈoɾə,flˈʔoʁɑ,flˈɔʁ,flˈɔra,flˈorɑ,xlorˈiða,flˈuːrɑ
plants,flower,flˈaʊɚ,blˈʊmə,blˈum,kvjˈecini,fjˈore,flˈoɾ,flˈoɹ,flˈɔaɾe,blˈʔʌmst,flˈœʁ,kfʲˈat,vˈiraːɡ,lulˈuði,blˈɔmst
plants,foliage,fˈoʊlɪɪdʒ,lˈaʊp,ɣəblˈaːdɛrtə,lˈisciː,foʎˈame,foʎˈaxe,fˌuʎˈaʒeɪŋ,frunzˈiʃ,lˈʔœw,fœjˈaʒ,lˈiɕtɕɛ,lˈombozɑt,fˈilomˌa,lˈœvvark
plants,forest,fˈɔːɹɪst,vˈalt,bˈɔs,fˈorest,forˈɛsta,bˈoske,flˌuɾˈɛʃtɐ,pədˈuɾe,skˈɔw,foʁˈɛ,lˈas,ˈɛrdøː,ðˈasos,skˈuːɡ
plants,frond,fɹˈɑːnd,fˈaɾŋkɾaʊt,blˈɑt,frˈont,frˈonda,fɾˈonda,fɹˈoŋdɨ,frˈunzə,blˈaðəð,fʁˈɔ̃d,lˈiɕtɕ,frˈond,(en)fɹˈɒnd(el),frˈʊnn
plants,fruit,fɹˈuːt,ˈoːpst,frˈœyt,ˈovotse,frˈutːa,fɾˈuta,fɹˈutɐ,frˈukte,fʁˈɒɡt,fʁyˈi,ˈɔvɔts,ɟˈymøltʃ,frˈuta,frˈʉkt
plants,garden,ɡˈɑːɹdən,ɡˈaɾtən,tˈœyn,zˈahrada,dʒardˈino,xaɾðˈin,ʒɐɾədˈiŋ,ɡrədˈinə,hˈaʋə,ʒaʁdˈɛ̃,ˈɔɡrut,kˈɛrt,cˈipos,hˈaɡa
plants,germinate,dʒˈɜːmᵻnˌeɪt,kˈaɪmən,ɔntkˈimən,klˈiːtʃit,dʒermoʎˈare,xˌeɾminˈaɾ,ʒˌeɾəminˈaɹ,dʒˌerminˈeazə,spˈiʔʌ,ʒɛʁmˈe,kʲɛwkˈɔvatɕ,tʃˈiːraːzik,vlastˈisi,spˈiːra
plants,ginkgo,dʒˈɪŋkɡoʊ,ɡˈɪŋkɡoː,ɣˈɪŋkɣoː,ɡˈiŋkɡo,dʒˈiŋkɡo,xˈiŋkɣo,ʒˈiŋkɡʊ,dʒˈiŋkɡo,dʒˈenkɡʔo,ʒɛ̃kɡˈo,miwˈɔʒɔmp,ɡˈinkɡo,(en)dʒˈɪŋkɡəʊ(el),jˈɪŋkɡuː
plants,grain,ɡɹˈeɪn,ɡətɾˈaɪdə,ɣrˈaːn,ˈobiliː,ɡrˈano,ɡɾˈano,ɡɹˈɐ̃ʊ̃ʃ,tʃeɾˈeale,kˈɒn,seʁeˈal,ʑˈarnɔ,ɡˈɑbonɑ,sˌitirˈa,kˈɔrn
plants,grass,ɡɹˈæs,ɡɾˈɑːs,ɣrˈɑs,trˈaːva,ˈɛrba,jˈeɾβa,ʁˈɛlvɐ,jˈarbə,ɡʁˈ?as,ˈɛʁb,trˈava,fˈyː,ɣrasˈiði,ɡrˈɛs
plants,grove,ɡɹˈoʊv,hˈaɪn,ɣrˈoːvə,hˈaːj,boskˈetːo,ˌaɾβolˈeða,bˈɔʃkɨ,livˈadə,lˈɒnən,bɔskˈɛ,zaɡˈajɲik,lˈiɡɛt,ˈalsos,lˈʉnn
plants,grow,ɡɹˈoʊ,vˈaxzən,kʋˈeːkən,pjˈestovat,krˈeʃere,kɾeθˈeɾ,kɹɨsˈeɹ,krˈeʃte,ʋˈʔʌksə,kʁwˈatʁ,rˈɔsnɔɲtɕ,nˈøvɛkɛɟːɛn,afksˈanodˌe,vˈɔksa
plants,guard cell,ɡˈɑːɹd sˈɛl,ʃʊtstsˈɛlə,bəsxɛrmsˈɛl,strˈaːʒɲiː bˈuɲka,tʃˈɛllʊla dɪ ɡwˈardia,θˈelula ðe ɣwˈaɾða,sˈɛlulɐ dɨ ɡwˈaɾədɐ,tʃelˈulə de ɡˈardə,bʔeskˈʔœtəlsəsεlə,sɛlˈyl də- ɡˈaʁd,kɔmˈurka ɔxrˈɔnna,ˈøːrʃɛjt,cˈitarˌo fˈilakˌa,vˈɑktkɛlla
plants,gum,ɡˈʌm,kaʊɡˈʊmiː,ɣˈɔm,ʒvˈiːkatʃka,ɡˈomma,ɡˈoma,ɡˈomɐ,ɡˈumə,tˈʔyɡəɡɒmˌʔi,ɡˈɔm,ɡˈuma,ɡˈumi,kˈomi,tˈyɡːeːɡˌʉmmiː
plants,hardy,hˈɑːɹdi,hˈaɾdiː,ʋˈɪntərhˌɑrt,hˈardi,dˈuro,rˌesistˈɛnte,ʁˌeziʃtˈeɪŋtɨ,rezistˈent,hˈɒfʔœɐ̯,ʁystˈik,vˌɨtʃɨmˈawɨ,kˈɛmeːɲ,sklirˈo,hˈɑrdføːr
plants,hastate,hˈeɪsteɪt,hastˈɑːtə,hɑstˈaːtə,hˈastate,hˈastate,astˈate,ˌɐpɹɨsˈaɹ,hastˈate,hˈastat,astˈat,pˈɔɕpʲɛx,hˈɑʃtɑtɛ,(en)hˈeɪsteɪt(el),hˈɑstat
plants,herb,ˈɜːb,kɾˈɔøtɜ,krˈœyt,bˈilini,ˈɛrba,jˈeɾβa,ˈɛɾəvɐ,jerbˈurʲ,ˈʔuɐ̯t,ˈɛʁb,ʑˈɔwɔ,ɟˈoːɟnøveːɲ,vˈotanˌo,ˈʉrt
plants,horsetail,hˈɔːɹsteɪl,ʃˈaxtəlhˌalm,hɪːrmˈus,pr̝̊ˈeslitʃka rˈolɲiː,ekwizˈeto,kˈola ðe kaβˈaʎo,kˌɐvɐlˈiɲɐ,kˈɔada kˈaluluɪ,pˈaðʔeɐ̯ˌʔʌk,pʁˈɛl,skʃˈɨp,ʒˈurloː,ˌaloɣˌourˈa,xˈarrɪŋrˌɔkː
plants,horticulture,hˈɔːɹɾɪkˌʌltʃɚ,ɡˈaɾtənbˌaʊ,tˈœynbʌʊ,zˈahradɲˌitstviː,ortikoltˈura,ˌoɾtikultˈuɾa,ˌuɾətikuwtˈuɾɐ,hˌortikultˈuɾə,hˈaʋəbɐ̯u,ɔʁtikyltˈyʁ,ˌɔɡrɔdɲˈitstfɔ,kˈɛrteːsɛt,cˌipuricˈi,hˈaɡəbrˌʉːk
plants,hybrid,hˈaɪbɹɪd,hʏbɾˈiːt,hˈɪbridə,hˈibridɲiː,ˈibrido,ˈiβɾiðo,ˈibɹidʊ,hibrˈid,hʔybɐ̯ˈʔið,ibʁˈid,xɨbrˈɨda,hˈibrid,ivrˈiðiˌo,hˈybriːd
plants,imperfect flower,ɪmpˈɜːfɛkt flˈaʊɚ,ˈʊnfɔlkˌɔmənə blˈʊmə,ɔnvˈɔlmaːktə blˈum,nˈedokˌonalaː kvjˈecina,fjˈore imperfˈɛtːo,flˈoɾ ˌimpeɾfˈekta,flˈoɹ ˌimpɨɾəfˈeɪtɐ,flˈɔaɾe ˌimperfˈektə,upεɐ̯fˈεɡt blˈʔʌmst,flˈœʁ ɛ̃paʁfˈɛt,ɲʲˌɛdɔskɔnˈawɨ kfʲˈat,tˈøkeːlɛtlɛn vˈiraːɡ,ˌatelˈez lulˈuði,ˈʉːfʉlkˌɔmmən blˈɔmst
plants,incomplete flower,ɪŋkəmplˈiːt flˈaʊɚ,ˈʊnfˌɔlʃtˌɛndɪɡə blˈyːtə,ɔnvˈɔlˌeːdəɣə blˈum,nˈeuːpˌl̩naː kvjˈecina,fjˈore inkomplˈɛto,flˈoɾ ˌinkomplˈeta,flˈoɹ ˌiŋkumplˈɛtɐ,flˈɔaɾe ˌinkomplˈetə,ufˈʔulstεndˌʔi blˈʔʌmst,flˈœʁ ɛ̃kɔ̃plˈɛt,ɲʲˌɛkɔmplˈɛtnɨ kfʲˈat,hˈiaːɲoʃ vˈiraːɡ,ˌatelˈez lulˈuði,ˈʉːfʉlstˌɛnnɪ blˈɔmst
plants,inflorescence,ˌɪnflɚɹˈɛsəns,blˈyːtənstˌant,blˈujʋɛɪzə,kvjˈetenstviː,infjoreʃˈɛntsa,ˌimfloɾesθˈɛnθja,ˌiŋfluɾɨsˈeɪŋsjɐ,ˌinfloɾestʃˈentsə,blˈʔʌmstʔʌstˌan,ɛ̃floʁɛsˈɑ̃s,kfʲatˈɔstan,vˈiraːɡzɑt,tˌaksianθˈia,blˈɔmstarʃtˌɑnn
plants,internode,ˌɪntɚnˈoʊd,ˌɪntɜnˈoːdiːˌʊm,ˌɪntərnˈoːdə,ˈinternˌodium,internˈodo,ˌentɾenˈuðo,ˌeɪŋtɹɨnˈɔ,ˌinternˈod,ʔentˈεɐ̯nʔoðjˌɒm,ɑ̃tʁnˈø,mʲˌɛndʑɨvˈɛ̃ʑlɛ,ˈintɛrnodium,ˌesotˌerikˈos kˈomvos,ˈɪntarnˌuːda
plants,ivy,ˈaɪvi,ˈeːfɔø,klˈimɔp,br̝ˈetʃcan,ˈedera,jˈeðɾa,ˈeɾɐ,jˈedeɾˌə,ʋˈʔeðbεn,ljˈɛʁ,blˈuʃtʃ,bˈoroʃcaːn,cissˈos,ˈeːføy
plants,jungle,dʒˈʌŋɡəl,dʒˈʊŋəl,jˈɵŋlə,dʒˈuŋɡle,dʒˈuŋɡla,sˈelβa,sˈelvɐ,ʒˈuŋɡlə,dʒˈɒŋlə,ʒˈœ̃ɡl,dʒˈuŋɡla,dʒˈunɡɛl,zˈuŋɡla,jˈʉŋəl
plants,juniper,dʒˈuːnɪpɚ,vˈaxɔldɜ,jˌeːnəvərbˈɛs,jˈalovets,dʒinˈepro,enˈeβɾo,zˈimbɹʊ,jˌenupˈər,ˈenəbεɐ̯,ʒənevʁiˈe,jawˈɔvʲɛts,bˈoroːkɑ,ˈarcefθˌos,ˈaɪnər
plants,kapok tree,kˈæpɑːk tɹˈiː,kˈɑpɔkbˌaʊm,kˌaːpɔkbˈoːm,strˈom kˈapok,ˈalbero dɪ kapˈɔk,θˈeɪβa,sˌumɐˈũmɐ,kopˈak kapˈok,kˈapʔʌktʁˌε,kapokjˈe,dʒˈɛvɔ kˌapɔkˈɔvɛ,kˈɑpokfɑ,ðˈedro kapˈok,kˈapuːktrˈeːət
plants,kelp,kˈɛlp,zˈeːtaŋ,kˈɛlp,r̝ˈasi,ˈalɡa,ˈalɣas,ˈɑlɡɐʃ,vaɾˈek,tˈ?ɑŋ,vaʁˈɛk,vˌɔdɔrˈɔstɨ,kˈɛlp,fˈica,tˈara
plants,kudzu,kˈʌdzuː,kˈʊttsuː,kˈɵdzy,kˈudʑu,kˈudtsʊ,kˈuðθu,kudzˈu,kˈudzu,kˈʔuðsʔu,kydzˈy,kˈudʑu,kˈudzːu,(en)kˈʌdzuː(el),kˈʉdsʉː
plants,lamina,lˈæmɪnə,lˈɑmiːnˌɑː,laːmˈinaː,lˈamina,lˈamina,lˈamina,lˈɐ̃minɐ,lamˈina,lˈamʔinˌa,laminˈa,blˈaʃka,lˈɑminɑ,(en)lˈamɪnə(el),lˈamiːnˌɑ
plants,lanceolate leaf,lˈænsɪˌɑːleɪt lˈiːf,lantsˈɛtlɪçəs blˈat,lˌɑnsɛtvˈɔrməx blˈɑt,kˈopinˌatiː lˈist,fˈɔʎa lantʃeolˈata,ˈoxa lˌanθeolˈaða,fˈoʎɐ lɐ̃ŋsˌiulˈadɐ,frˈunzə lˌantʃeolˈatə,lˈansʔetfˌʌːməð blˈað,fˈœj lɑ̃seolˈe,lˈiɕtɕ lˌantsɛtɔvˈatɨ,lˈaːndʒaːʃ lˈɛveːl,lˌoŋxoiðˈes fˈilo,lˈɑnsətːfˌɔrmət blˈad
plants,lateral bud,lˈæɾɚɹəl bˈʌd,zˈaɪtənknˌɔspə,zˈɛɪknɔp,bˈotʃɲiː pˈupen,dʒˈɛmma laterˈale,ʝˈema lˌateɾˈal,ʒˈemɐ lˌɐtɨɾˈɑl,muɡˈuɾe lˌateɾˈal,lˌatʔeʁˈ?ɑl knˈʔop,buʁʒˈɔ̃ lateʁˈal,pˈɔntʃɛɡ bˈɔtʃnɨ,ˈoldɑlryɟ,plˌevrikˈos ˌofθalmˈos,sˈiːdəknˌɔpː
plants,lead scar,lˈiːd skˈɑːɹ,blˈaɪnaɾbə,lˈoːdslɑp,ˈolovjˌenaː jˈizva,tʃikatrˈitʃe dɪ pjˈɔmbo,θˌikatɾˈiθ ðe plˈomo,sˌikɐtɹˈiʒ dɨ ʃˈũmbʊ,tʃˌikatrˈitʃe de plˈumb,ˈɑ ˈa blˈʔy,sikatʁˈis də- plˈɔ̃,ˌɔwɔvʲˈana blˈizna,ˈoːlomhɛɡ,molˈivðinˌi ulˈi,blˈyː ˈɑrr
plants,leaf,lˈiːf,blˈat,blˈɑt,lˈist,fˈɔʎa,ˈoxa,fˈoʎɐ,frˈunzə,blˈað,fˈœj,lˈiɕtɕ,lˈɛveːl,fˈilo,blˈad
plants,leaflet,lˈiːflɪt,flˈuːɡblat,fˈɔldər,lˈetaːk,foʎˈetːo illʊstratˈivo,foʎˈeto,fˌuʎˈetʊ,broʃˈuɾə,fˈʔʌlʔʌ,depliˈɑ̃,ulˈɔtka,sˈoːroːlɑp,filˈaðiˌo,brˈɔʃyːra
plants,legume,lˈɛɡjuːm,hˈʏlzənfrˌʏçtə,pˈøːl,lˈuʃceɲˌini,leɡˈume,leɣˈumbɾes,lˌeɡuminˈɔzɐ,leɡˈumə,bˈεlplandə,leɡyminˈøz,rɔɕlˈina strɔntʃkˈɔva,hˈyvɛjɛʃɛk,ˈospriˌa,bəlɡfrˈʉktər
plants,lily,lˈɪli,lˈiːlɪə,lˈili,lˈili,dʒˈiʎo,lˈiɾjo,lˈiɾjʊ,krˈin,lˈʔiljə,lˈis,lˈilja,lˈiliom,krˈinos,lˈɪja
plants,lobed,lˈoʊbd,ɡəlˈapt,ɣəlˈɔpt,lˈalotʃnˌateː,lobˈato,lˌoβulˈaðo,lˌubˈadʊ,lobˈate,flˈiəð,lobˈe,lˌɔbɔvˈanɨ,kˈɑreːjoʃ,lˌovotˈos,lˈɑpːət
plants,margin,mˈɑːɹdʒɪn,mˈaɾɡə,mˈɑrʒə,mˈarʒe,mˈardʒine,mˈaɾxen,mˈaɾəʒeɪŋ,mˈardʒinˌe,mˈɑɡʔin,mˈaʁʒ,marɡʲˈinɛs,ˈaːreːʃ,pˌeriθˈoriˌo,mˈɑrjiːn
plants,meristem,mˈɛɹɪstəm,meːrˈɪstəm,mˌɪːrɪstˈeːm,mˈeristeːm,meristˈɛma,mˌeɾistˈemo,mˌeɾiʃtˈemɐ,mˌeɾistˈem,mˈʔeʁʔestˌεm,meʁistˈɛm,mɛrˈɨstɛm,mˈɛristeːmɑ,mˌeristˈomatˌos,mˈeːrɪstəm
plants,midrib,mˈɪdɹɪb,mˈɪtəlrˌɪpə,mˈɪdɛnrˌɪp,mˈidrip,medjˈana,nˈeɾβjo θentɾˈal,nˌeɾəvˈuɾɐ seɪŋtɹˈɑl,nervˈuɾə miʒlˈotʃje,mˈʔetʔʌʁˌʔibə,nɛʁvˈyʁ sɑ̃tʁˈal,ʒˈɛbrɔ,mˈidrib,(en)mˈɪdɹɪb(el),mˈɪdtrɪbːa
plants,monocot,mˈɑːnoʊkˌɑːt,mˌoːnoːkˌoːtyːleːdˈoːnən,mˈoːnoːkˌɔt,jˈednoɟˌeloʒneː,monokotiledˈone,mˌonokˌotileðˈonea,mˌunukˌutilɨdˈɔniɐʃ,mˌonokˌotilˌedonˈatə,mʔonˈʔʌkʔotˌʔyl,monokotiledˈɔn,jˌɛdnɔliɕtɕˈɛnnɨ,ˈɛɟsikyːɛk,mˌonokˌotilˈiðonˌo,mˈuːnuːkˌuːtyːl
plants,moss,mˈɔs,mˈoːs,mˈɔs,mˈex,mˈuskio,mˈusɣo,mˈuʒɡʊ,mˈuʃkʲ,mˈʔos,mˈus,mˈɛx,mˈohɑ,vrˈia,mˈuːsa
plants,nectar,nˈɛktɚ,nɛktˈɑːɾ,nˈɛktɑr,nˈektar,nˈɛtːare,nˈektaɾ,nˈɛtɐɹ,nektˈar,nˈʔektɑ,nɛktˈaʁ,nˈɛktar,nˈɛktaːr,nˈektar,nˈɛktar
plants,needle,nˈiːdəl,nˈɑdəl,nˈaːlt,jˈehla,ˈaɡo,aɣˈuxa,ˌɐɡˈuʎɐ,ˈakul,nˈɒl,ɛɡyˈij,ˈiɡwa,tˈyː,velˈona,nˈoːl
plants,netted,nˈɛɾᵻd,nˈɛts,nˈɛt,sˈiːcovˌaneː,netːˈato,rˈed,kˌumpeɪŋsˈadʊ,ɨn plˈasə,mεð nˈʔet,nɛtˈe,ɕˌatkɔvˈanɨ,hˈaːloːʃ,ðˈixti,nˈɛtːɪŋ
plants,node,nˈoʊd,knˈoːtən,knˈoːpɵnt,ˈuzel,nˈɔdo,nˈoðo,nˈɔ,nˈod,knˈuðəpɒŋt,nˈø,vˈɛ̃zɛw,nˈodɛ,kˈomvos,nˈuːda
plants,nut,nˈʌt,nˈʊs,nˈoːt,ˈor̝ex,dˈado,twˈeɾka,nˈɔʃ,pjˈulitsˌə,mˈʔœtʁʔek,ekʁˈu,nakrˈɛntka,dˈioː,pˌaksimˈaði,nˈœtː
plants,opposite leaves,ˈɑːpəzˌɪt lˈiːvz,ɡeːɡənˌyːbɜlˈiːɡəndə blˈɛtɜ,tˈeːɣənˌoːvərɣəstˌɛldə blˈaːdərən,prˈocilˌehleː lˈisti,fˈɔʎe opːˈoste,ˈoxas opwˈestas,fˈoʎɐz ˌɔpˈoʃtɐʃ,frˈunze opˈuse,mˈʔoðsatə blˈaðə,fˈœjz ɔpozˈe,pʃˌɛtɕivlˈɛɡwɛ lˈiɕtɕɛ,ˈɛllɛnteːtɛʃ ˈiraːɲuː lˈɛvɛlɛk,adˈiθetˌa fˈila,mˈɔtsɑtːa blˈadər
plants,ovary,ˈoʊvɚɹi,ˈaɪɜstˌɔk,ˈɛɪərstˌɔk,vˈajetʃɲˌiːki,ovˈaio,oβˈaɾjo,ˌɔvˈaɾjʊ,ovˈar,ˈεɡεstˌʔʌk,ovˈɛʁ,jˈajɲik,pˈɛtɛfeːsɛk,ˌooθˈici,ˈɛɡːstɔkː
plants,palm,pˈɑːm,pˈalmə,pˈɑlm,pˈalma,pˈalma,pˈalma,pˈɑlmɐ,palmjˈer,hˈʔʌnflaðə,palmjˈe,dwˈɔɲ,pˈaːlmɑ,palˈami,hˈɔnnflata
plants,palmate,pˈɑːmeɪt,hˈantflˌɛçə,hɑndvˈɔrməx,pˈalmate,palmˈato,pˌalmeˈaðo,pˌɑlmˈatʊ,palmˈat,hˈʔʌnflaðəfˌʌːməð,palmjˈe,palmˈatɛ,pˈɑlmɑtɛ,(en)pˈɑːmeɪt(el),hˈɔnnflatən
plants,parted leaf,pˈɑːɹɾᵻd lˈiːf,ɡətˈaɪltəs blˈat,ɣəsxˈɛɪdən blˈɑt,rˈozɟelˌeniː lˈist,fˈɔʎa sepaɾˈata,ˈoxa paɾtˈiða,fˈoʎɐ dˌividˈidɐ,frˈunzə dˌespərtsˈitə,dˈʔelt blˈað,fˈœj sepaʁˈe,rɔstɕˈɛntɨ lˈiɕtɕ,ˈɛlvaːlɑstotː lˈɛveːl,xˌorismˈeno fˈilo,dˈɛlt blˈad
plants,peduncle,pˈɛdʌŋkəl,ʃtˈiːl,stˈeːl,pˈeduntsle,pedˈunkolo,peðˈunkulo,pˌedˈũŋkulʊ,pedˈunkul,pˈʔeðʔunklə,pedɔ̃kˈyl,ʃɨpˈuwka,pˈɛduntslɛ,mˈisxos,pˈeːdʉnkla
plants,perennial,pəɹˈɛnɪəl,mˈeːɾjɛːrˌɪç,ˌoːvərblˈɛɪvənt,tˈr̩valka,perˈɛnne,peɾˈɛnne,pˌeɾˈenɨ,peɾˈene,flˈʔeʁɒɒˌʔi,peʁˈɛn,vʲˌɛlɔlˈɛtɲi,ˈeːvɛløː,pˌoʎetˈes,flˈeːroːrˌɪ
plants,perfect flower,pˈɜːfɛkt flˈaʊɚ,pɛɾfˈɛktə blˈʊmə,pˈɛrfɛktə blˈum,dˈokonˌalaː kvjˈecina,fjˈore perfˈɛtːo,flˈoɾ peɾfˈekta,flˈoɹ pˌeɾəfˈeɪtɐ,flˈɔaɾe perfˈektə,pεɐ̯fˈεɡt blˈʔʌmst,flˈœʁ paʁfˈɛt,dˌɔskɔnˈawɨ kfʲˈat,tˈøkeːlɛtɛʃ vˈiraːɡ,tˈeʎo lulˈuði,pˈarfɛkt blˈɔmst
plants,petal,pˈɛɾəl,blˈyːtənblˌat,blˈumblɑt,ˈokvjetɲiː lˈiːstek,pˈɛtalo,pˈetalo,pˈɛtɐlɐ,petˈalə,kʁˈʔonblað,petˈal,pwˈatɛk,sˈirom,pˈetalˌo,krˈɔnblad
plants,petiole,pˈɛɾɪˌoʊl,blˈatstiːl,blɑtstˈeːl,r̝ˈapiːk,pˈitʃːolo,peθjˈolo,pˌesˈiʊlʊ,petsjˈol,blˈastʔelk,petjˈɔl,ɔɡˈɔnɛk,lˈɛveːlɲeːl,mˈisxos,blˈɑdstɪlk
plants,petrified wood,pˈɛtɹᵻfˌaɪd wˈʊd,fɛɾʃtˈaɪnɜtəs hˈɔlts,vərstˈeːnt hˈʌʊt,skˈameɲˌeleː dr̝ˈevo,lˈeɲɲo pjetrifikˈato,maðˈeɾa pˌetɾifikˈaða,mˌɐdˈeɪɾɐ pˌetɹifikˈadɐ,lˈemn pjˌetrifikˈat,fʔʌstˈʔenəð tʁˈε,bwˈa petʁifjˈe,skˌamjɛɲʲˈawɛ drˈɛvnɔ,mˈɛkːøvɛʃɛdɛtː fˈɑ,ˌapolˌiθomˈeno ksˈilo,fˈɔrʃtaɪnət trˈeː
plants,phloem,flˈoʊᵻm,flˈøːm,floːˈeːm,flˈoeːm,floˈɛma,floˈema,flˌuˈemɐ,floˈem,flˈʔoεm,flɔˈɛm,wˈɨkɔ,flˈoɛm,flˈio,flˈɔam
plants,photosynthesis,fˌoʊɾoʊsˈɪnθəsˌɪs,fˌoːtoːzˈʏntəsə,fˌoːtoːzɪntˈeːsə,fˈotosˌinteːza,fotozˈintezɪ,fˌotosˈintesis,fˌutusˈiŋtɨzɨ,fˌotosintˈezə,fˈʔotʔosˌʔyntʔesə,fotosɛ̃tˈɛz,fˌɔtɔsɨntˈɛza,fˈotosinteːziʃ,fˌotosˈinθesˌi,fˈuːtuːsˌynteːsa
plants,pinnate,pˈɪneɪt,ɡəfˈiːdɜt,ɣəvˈɪːrt,spˈer̝eneː,pennˈato,pinnˈaðas,pˌinˈadʊ,penˈat,flˈiəð,pɛnˈe,pʲɛʒˈastɨ,pˈinnɑtɛ,(en)pˈɪneɪt(el),flˈiːkeːta
plants,pistil,pˈɪstɪl,ʃtˈɛmpəl,stˈɑmpər,pˈesciːk,pistˈillo,pistˈilo,pˌiʃtˈilʊ,pistˈil,pʔistˈil,pistˈil,swˈupɛk,vˈiraːɡzɑt,ˈemvolˌo,pˈɪstiːl
plants,pith,pˈɪθ,pɾˈɛːɡʊŋ,pˈɪt,pˈitx,midˈollo,mˈeðula,mˌedˈulɐ,mjˈez,mˈɑɑk,mwˈal,rdʑˈɛɲ,pˈith,(en)pˈɪθ(el),mˈɑrɡən
plants,plumule,plˈuːmjuːl,plˈuːmuːlə,plˈœym,plˈumule,plˈumʊlo,plˈumula,plˈũmulɐ,plumˈule,fjˈʔeɐ̯dʁ?ɑɡt,plymˈyl,ɕlˈifka,plˈumulɛ,(en)plˈuːmjuːl(el),plˈʉːmʉːla
plants,poison ivy,pˈɔɪzən ˈaɪvi,ɡˈɪfteːfˌɔø,ɣˈɪfsymˌɑk,jˈedovˌatiː br̝ˈetʃcan,ˈedera velenˈoza,jˈeðɾa βˌenenˈosa,ˈeɾɐ vˌenɨnˈɔzɐ,jˈedeɾˌə ˌotrəvitˈɔaɾe,ɡˈʔiftˌʔi ˈefʌj,lə- symˈak venenˈø,trujˈɔntsɨ blˈuʃtʃ,mˈeːrɡɛʃ sˈømørtsɛ,ðˌilitˌiriˈoðis cissˈos,jˈɪftsʉːmˌak
plants,pollen,pˈɑːlən,pˈɔlən,pˈɔlən,pˈil,pˈɔlline,pˈolen,pˈɔleɪŋ,polˈen,pˈʔʌlən,pɔlˈɛn,pˈɨwɛk,pˈollɛn,jˈiri,pˈɔllən
plants,pollinate,pˈɑːlᵻnˌeɪt,bəʃtˈɔøbən,bəstˈœyvən,ˈopilˌovat,impollinˈare,pˌoliniθˈaɾ,pˌulinizˈaɹ,pˌolenˈiza,bʔestˈœʋə,pɔlinizˈe,zapˈɨlatɕ,bˈɛporozni,ˌepikonˈiasˌi,pˈɔlliːnˌeːra
plants,prickle,pɹˈɪkəl,ʃtˈaxəl,prˈɪkər,pˈixlaviː,pˈuŋɡolo,pintʃˈaɾ,ʃpˌiɲˈozʊ,ˌɨntsepətˈuɾə,stˈʔekə,pikˈe,ukwˈutɕɛ,tˈyʃkeːʃ,tsˈibimˌa,stˈɪkːa
plants,pulse,pˈʌls,pˈuːls,pˈɵls,pˈulzɲiː,impˈulso,pˈulso,pˌuwsɐsˈɐ̃ʊ̃,pˈuls,pˈʔuls,ɛ̃pylsjˈɔ̃,pˈuls,ˈimpulzuʃ,palmˈos,pˈʉls
plants,rachis,ɹˈætʃaɪz,rˈaxɪs,rˈɑxɪs,rˈaxis,rˈakide,rˈatʃis,ʁɐʃˈiʃ,rˈakiʊ,ʁˈ?ɑʃʔis,ʁaʃˈi,rˈaçis,rˈɑtshiʃ,raçˈis,rˈɑʃiːs
plants,rain forest,ɹˈeɪn fˈɔːɹɪst,rˈeːɡənvˌalt,rˈeːɣɛnʋˌʌʊt,dˈeʃtniː prˈales,forˈɛsta plʊvjˈale,sˈelβa tɾˌopikˈal,flˌuɾˈɛʃtɐ tɹˌupikˈɑl,pədˈuɾe trˌopikˈalə,ʁˈ?ɑjnskɔw,foʁˈɛ tʁopikˈal,lˈaz dɛʃtʃˈɔvɨ,ˈɛʃøːɛrdøː,trˌopikˈo ðˈasos,rˈɛŋnskuːɡ
